id,周期,场地编号,场地名称,wg,xig,结构阻尼比,减震比,miu,zeta,kappa,gamma,alpha,ok
115,0.1,11,设计地震第3组+III,9.67,0.8,0.05,0.5,0.9453678648573746,0.9979443996991545,0.29597464424352826,0.9026041551286982,39.732914377694,False
116,0.1,11,设计地震第3组+III,9.67,0.8,0.05,0.6,0.7055192791336721,0.00011869520037394166,0.003665879396094973,1.0103867582814727,22.45886030164117,False
117,0.1,11,设计地震第3组+III,9.67,0.8,0.05,0.7,0.8968989543385726,0.9998234733926018,0.3005198411682236,0.9024602420369091,19.723436668991436,False
118,0.1,11,设计地震第3组+III,9.67,0.8,0.05,0.8,0.9601186957964204,0.9989717900676414,0.2990957967869624,0.9024852544511588,9.723507287074238,False
119,0.1,11,设计地震第3组+III,9.67,0.8,0.05,0.9,0.0852552658711021,2.148747460162248e-05,0.0019380375887307344,0.9925221718316982,-14.044045009590256,False
120,0.1,12,设计地震第1组+IV,9.67,0.9,0.02,0.5,0.9573811289472962,0.9995414093102619,0.30978641889830244,0.9036851040647782,39.85448018309779,False
121,0.1,12,设计地震第1组+IV,9.67,0.9,0.02,0.6,0.9954647123475724,0.9990850165418164,0.2874831429681416,0.903779645634364,29.842230591113477,False
122,0.1,12,设计地震第1组+IV,9.67,0.9,0.02,0.7,0.9593626108718113,0.998823605469045,0.2877542994004063,0.9038339057985539,19.848692956108348,False
123,0.1,12,设计地震第1组+IV,9.67,0.9,0.02,0.8,0.9370483751375107,0.9989460930149711,0.2828005945891186,0.903914115178865,9.852268978269581,False
124,0.1,12,设计地震第1组+IV,9.67,0.9,0.02,0.9,0.9567873772739424,0.9759181289070705,0.1420851956463247,0.9199287779207668,-0.7130210292144031,True
125,0.1,12,设计地震第1组+IV,9.67,0.9,0.05,0.5,0.9148936041809141,0.9998029023394205,0.29966408237564623,0.9030890737134215,39.78686053550997,False
126,0.1,12,设计地震第1组+IV,9.67,0.9,0.05,0.6,0.9854382275450098,0.9970872178456724,0.29384029875576717,0.9032935203945834,29.800889177080215,False
127,0.1,12,设计地震第1组+IV,9.67,0.9,0.05,0.7,0.9833616613102083,0.998688921322591,0.29191757956085784,0.9031802419196887,19.787456019039514,False
128,0.1,12,设计地震第1组+IV,9.67,0.9,0.05,0.8,0.9223548540648434,0.9991152957015879,0.27773665098649747,0.9034353322343538,9.800128187495352,False
129,0.1,12,设计地震第1组+IV,9.67,0.9,0.05,0.9,0.7993739232374275,0.00023934245287882128,0.00860936201072754,1.009996032617648,-20.29103181209014,False
130,0.1,13,设计地震第2组+IV,8.38,0.9,0.02,0.5,0.9727429969068094,0.9996884912229217,0.2741054689445009,0.9076242445465437,40.22336627682399,False
131,0.1,13,设计地震第2组+IV,8.38,0.9,0.02,0.6,0.9897096901365346,0.9987865760832024,0.29521998983040443,0.9075414799477252,30.235744261606225,False
132,0.1,13,设计地震第2组+IV,8.38,0.9,0.02,0.7,0.9877530931513987,0.9998325854527398,0.2948141716034276,0.9074559207424423,20.226640489314153,False
133,0.1,13,设计地震第2组+IV,8.38,0.9,0.02,0.8,0.966118417427826,0.9980401918146028,0.28749856567009213,0.9076346712306251,10.23821194621985,False
134,0.1,13,设计地震第2组+IV,8.38,0.9,0.02,0.9,0.7762460691947197,0.0004801675713074771,0.021995686158505723,1.0212624071905159,-4.074658337932494,False
135,0.1,13,设计地震第2组+IV,8.38,0.9,0.05,0.5,0.9706168843106693,1.9446015502855296e-06,0.006059266671979924,0.984640880188905,38.28643003096315,False
136,0.1,13,设计地震第2组+IV,8.38,0.9,0.05,0.6,0.8679718439874935,0.9987825155167469,0.2769460996757902,0.9072005553478214,30.18657184988215,False
137,0.1,13,设计地震第2组+IV,8.38,0.9,0.05,0.7,0.8737547984253973,0.9992024376928987,0.2965765394015352,0.9070036271755288,20.185906180621483,False
138,0.1,13,设计地震第2组+IV,8.38,0.9,0.05,0.8,0.917737952751949,0.0006996318750056019,0.026011027589522506,1.009492030872422,9.068016258074717,False
139,0.1,13,设计地震第2组+IV,8.38,0.9,0.05,0.9,0.8940157509894352,0.0005612373393866221,0.006802201321737478,0.9872600651699005,-1.6335238748589198,False
140,0.1,14,设计地震第3组+IV,6.98,0.9,0.02,0.5,0.9442850645205756,0.9998593628396046,0.2589998190030442,0.9133910564814829,40.80017518205963,False
141,0.1,14,设计地震第3组+IV,6.98,0.9,0.02,0.6,0.3687761676965368,4.16412952664591e-05,0.020006299167918407,1.334181629009491,26.71791504264349,False
142,0.1,14,设计地震第3组+IV,6.98,0.9,0.02,0.7,0.9514943283162588,0.9998606964935414,0.2702150812016061,0.9132583670417992,20.79857488780439,False
143,0.1,14,设计地震第3组+IV,6.98,0.9,0.02,0.8,0.990729995002821,0.9989706948322854,0.2676990350164401,0.9133163586365797,10.801218051328034,False
144,0.1,14,设计地震第3组+IV,6.98,0.9,0.02,0.9,0.926510631490578,0.9881653039765753,0.1702572790552473,0.9199935098024923,-0.6485935845690075,True
145,0.1,14,设计地震第3组+IV,6.98,0.9,0.05,0.5,0.9842701553126436,0.00022137910292580054,0.010734997769705934,1.0623730240660598,34.23765675270178,False
146,0.1,14,设计地震第3组+IV,6.98,0.9,0.05,0.6,0.5667011183999562,0.00022351741957304938,0.013140402832183262,1.0960335260967777,17.672291817724627,False
147,0.1,14,设计地震第3组+IV,6.98,0.9,0.05,0.7,0.8896447188380712,0.998822599640657,0.26974894307366715,0.9128754497119609,20.761596988466493,False
148,0.1,14,设计地震第3组+IV,6.98,0.9,0.05,0.8,0.7040551208261782,0.0006580501843843622,0.00444373491737049,0.9945790854406156,10.714736346786678,False
149,0.1,14,设计地震第3组+IV,6.98,0.9,0.05,0.9,0.7500089909882023,0.999681837854399,0.16576846812492957,0.9199959573562354,-0.6537645745573376,True
150,0.2,0,设计地震第1组+I0,31.42,0.64,0.02,0.5,0.9758632926334686,0.9999641403553198,0.7082520478088561,0.7869576833634491,28.260668926986906,False
151,0.2,0,设计地震第1组+I0,31.42,0.64,0.02,0.6,0.9735181627684695,0.9978952705703323,0.6906162030295745,0.7873693707096806,18.295465243286113,False
152,0.2,0,设计地震第1组+I0,31.42,0.64,0.02,0.7,0.9922269433157663,0.9971885829954489,0.707813566236299,0.7872639493089583,8.290818809316812,False
153,0.2,0,设计地震第1组+I0,31.42,0.64,0.02,0.8,0.9754557384211997,0.9817459805439858,0.32554508243162245,0.8189761944846546,-0.6365726935671039,True
154,0.2,0,设计地震第1组+I0,31.42,0.64,0.02,0.9,0.9366629193474569,0.9513986703112622,0.09158152410076204,0.918645407362853,-0.863935652842975,True
155,0.2,0,设计地震第1组+I0,31.42,0.64,0.05,0.5,0.9908809884703232,0.9998090788707813,0.7648980450995121,0.784905282682916,28.077007799983583,False
156,0.2,0,设计地震第1组+I0,31.42,0.64,0.05,0.6,0.9888072236538471,0.9994762986859403,0.7345329056272872,0.7849055698566335,18.066562705169883,False
157,0.2,0,设计地震第1组+I0,31.42,0.64,0.05,0.7,0.994959674738047,0.9967538788672825,0.7155852818160152,0.7853093333692063,8.100113861212733,False
158,0.2,0,设计地震第1组+I0,31.42,0.64,0.05,0.8,0.9606029090330221,0.9943764507351551,0.31648908791310404,0.8193921409767977,-0.6426581336307873,True
159,0.2,0,设计地震第1组+I0,31.42,0.64,0.05,0.9,0.9705766288234042,0.9495032872967667,0.09093859859510212,0.9189434095839439,-0.8651477433144694,True
160,0.2,1,设计地震第2组+I0,25.13,0.64,0.02,0.5,0.9628650245283918,0.9996559098337285,0.7361928949966497,0.7814529055301044,27.716488656290394,False
161,0.2,1,设计地震第2组+I0,25.13,0.64,0.02,0.6,0.9572244208844335,0.9989750161690638,0.6927680201289655,0.7818006814556998,17.735500599072314,False
162,0.2,1,设计地震第2组+I0,25.13,0.64,0.02,0.7,0.9843952207594754,0.9999467805023996,0.7525720428867045,0.781282504539508,7.70445520262165,False
163,0.2,1,设计地震第2组+I0,25.13,0.64,0.02,0.8,0.992990776844254,0.9900865554070961,0.30492061603755216,0.8197266080025267,-0.6581490710904043,True
164,0.2,1,设计地震第2组+I0,25.13,0.64,0.02,0.9,0.9824069364548246,0.21513119500228162,0.13376449893239512,0.9199803320276261,-0.8766802592225589,True
165,0.2,1,设计地震第2组+I0,25.13,0.64,0.05,0.5,0.9928480684224372,0.9999201744788898,0.6791701218424001,0.7795999658100488,27.510797540685203,False
166,0.2,1,设计地震第2组+I0,25.13,0.64,0.05,0.6,0.9734141750143034,0.9988840967333622,0.716204074890942,0.7795216608861927,17.51779969922395,False
167,0.2,1,设计地震第2组+I0,25.13,0.64,0.05,0.7,0.9392795036679469,0.9986048340693476,0.7432486544791509,0.7796959520592519,7.5461642971628375,False
168,0.2,1,设计地震第2组+I0,25.13,0.64,0.05,0.8,0.9751226825648746,0.994688652416234,0.3054507397521342,0.8185699890927043,-0.6563428369289994,True
